33800_G.pthheat: 0.0000, Adjust_PSNR: 26.1980, Adjust_LPIPS: 0.1404, Adjust_SSIM: 0.8550, PSNR: 23.1220, LPIPS: 0.1433, SSIM: 0.8430
34000_G.pthheat: 0.0000, Adjust_PSNR: 25.9373, Adjust_LPIPS: 0.1304, Adjust_SSIM: 0.8580, PSNR: 21.6828, LPIPS: 0.1377, SSIM: 0.8421
34200_G.pthheat: 0.0000, Adjust_PSNR: 25.4636, Adjust_LPIPS: 0.1474, Adjust_SSIM: 0.8429, PSNR: 22.4812, LPIPS: 0.1489, SSIM: 0.8314
34400_G.pthheat: 0.0000, Adjust_PSNR: 25.9688, Adjust_LPIPS: 0.1333, Adjust_SSIM: 0.8506, PSNR: 22.8341, LPIPS: 0.1358, SSIM: 0.8402
34600_G.pthheat: 0.0000, Adjust_PSNR: 26.1803, Adjust_LPIPS: 0.1297, Adjust_SSIM: 0.8550, PSNR: 22.1124, LPIPS: 0.1370, SSIM: 0.8392
34800_G.pthheat: 0.0000, Adjust_PSNR: 25.8818, Adjust_LPIPS: 0.1372, Adjust_SSIM: 0.8496, PSNR: 22.5058, LPIPS: 0.1417, SSIM: 0.8362
35000_G.pthheat: 0.0000, Adjust_PSNR: 26.1624, Adjust_LPIPS: 0.1315, Adjust_SSIM: 0.8567, PSNR: 23.2785, LPIPS: 0.1359, SSIM: 0.8448
35200_G.pthheat: 0.0000, Adjust_PSNR: 26.0129, Adjust_LPIPS: 0.1440, Adjust_SSIM: 0.8514, PSNR: 22.5565, LPIPS: 0.1462, SSIM: 0.8405
35400_G.pthheat: 0.0000, Adjust_PSNR: 25.7434, Adjust_LPIPS: 0.1431, Adjust_SSIM: 0.8479, PSNR: 22.9027, LPIPS: 0.1458, SSIM: 0.8365
35600_G.pthheat: 0.0000, Adjust_PSNR: 26.3105, Adjust_LPIPS: 0.1332, Adjust_SSIM: 0.8584, PSNR: 21.7319, LPIPS: 0.1421, SSIM: 0.8414
35800_G.pthheat: 0.0000, Adjust_PSNR: 25.5378, Adjust_LPIPS: 0.1392, Adjust_SSIM: 0.8493, PSNR: 22.7896, LPIPS: 0.1416, SSIM: 0.8381
36000_G.pthheat: 0.0000, Adjust_PSNR: 26.0103, Adjust_LPIPS: 0.1384, Adjust_SSIM: 0.8501, PSNR: 22.9372, LPIPS: 0.1406, SSIM: 0.8381
36200_G.pthheat: 0.0000, Adjust_PSNR: 26.3604, Adjust_LPIPS: 0.1320, Adjust_SSIM: 0.8551, PSNR: 22.9938, LPIPS: 0.1366, SSIM: 0.8417
36400_G.pthheat: 0.0000, Adjust_PSNR: 26.2054, Adjust_LPIPS: 0.1307, Adjust_SSIM: 0.8533, PSNR: 22.9252, LPIPS: 0.1355, SSIM: 0.8393
